Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;ERW061__Arbeitnehmer_(Inlandskonzept)__1000
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-B-F;Produzierendes Gewerbe;2060,8
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-B-E;Produzierendes Gewerbe ohne Baugewerbe;1665,4
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-B;Bergbau und Gewinnung von Steinen und Erden;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-C;Verarbeitendes Gewerbe;1586,9
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-D;Energieversorgung;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-F;Baugewerbe;395,3
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-G-T;Dienstleistungsbereiche;3173,7
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-G-J;Handel, Verkehr, Lagerei, Gastgewerbe, Inf. u.Kom.;1324,7
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-G-I;Handel, Verkehr und Lagerei, Gastgewerbe;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-H;Verkehr und Lagerei;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-I;Gastgewerbe;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-J;Information und Kommunikation;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-K-N;Finanz-,Vers.-,UnternehmensDL,Grundst.-,Wohnungsw.;488,7
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-L;Grundstücks- und Wohnungswesen;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-M-N;Unternehmensdienstleister;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;09;Bayern;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);;Insgesamt;5274,3
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-A;Land- und Forstwirtschaft, Fischerei;1,0
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-B-F;Produzierendes Gewerbe;435,3
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-B-E;Produzierendes Gewerbe ohne Baugewerbe;310,8
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-B;Bergbau und Gewinnung von Steinen und Erden;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-C;Verarbeitendes Gewerbe;269,1
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-D;Energieversorgung;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-F;Baugewerbe;124,5
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-G-T;Dienstleistungsbereiche;1144,7
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-G-J;Handel, Verkehr, Lagerei, Gastgewerbe, Inf. u.Kom.;458,2
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-G-I;Handel, Verkehr und Lagerei, Gastgewerbe;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-H;Verkehr und Lagerei;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-I;Gastgewerbe;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-J;Information und Kommunikation;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-K-N;Finanz-,Vers.-,UnternehmensDL,Grundst.-,Wohnungsw.;195,8
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-L;Grundstücks- und Wohnungswesen;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-M-N;Unternehmensdienstleister;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;11;Berlin;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);;Insgesamt;1581,0
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;12;Brandenburg;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-A;Land- und Forstwirtschaft, Fischerei;74,1
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;12;Brandenburg;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-B-F;Produzierendes Gewerbe;417,1
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;12;Brandenburg;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-B-E;Produzierendes Gewerbe ohne Baugewerbe;296,6
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;12;Brandenburg;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-B;Bergbau und Gewinnung von Steinen und Erden;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;12;Brandenburg;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-C;Verarbeitendes Gewerbe;232,0
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;12;Brandenburg;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-D;Energieversorgung;.
13311;Länderberechnung Erwerbstätige;JAHR;Jahr;1991;DLAND;Bundesländer;12;Brandenburg;WZ08R1;WZ2008 (Abschnitte, Zusammenfassungen);WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;.
