Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;UNT002__Unternehmen_(EU)__Anzahl;PER005__Taetige_Personen__Anzahl;UMS002__Umsatz__Mill._EUR;INV018__Bruttoinvestitionen_in_Sachanlagen__Mill._EUR;BWS003__Bruttowertschoepfung_zu_Faktorkosten__Mill._EUR;BBU001__Bruttobetriebsueberschuss__Mill._EUR;PAW002__Personalaufwendungen__Mill._EUR;VST005__Bruttoloehne_und_-gehaelter__Mill._EUR;KOS026__Sozialversicherungskosten__Mill._EUR;KOS002__Kosten_fuer_Mieten_und_Pachten__Mill._EUR;PRO013__Produktionswert__Mill._EUR;KAU007__Waren-_und_Dienstleistungskaeufe__Mill._EUR;KAU008__Kaeufe_v.Waren_u.DL_z.Wiederverk._i.unveraend._Zust.__Mill._EUR;VRV001__Vorratsveraenderungen_bei_Waren_u._Dienstleistungen__Mill._EUR;AUFW05__Aufwendungen_fuer_Leiharbeitnehmer__Mill._EUR;LGE001__Lohn-_und_Gehaltsempfaenger__Anzahl;LGE002__Lohn-_und_Gehaltsempfaenger_in_Vollzeiteinheiten__Anzahl
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-641;Zentralbanken und Kreditinstitute;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-642;Beteiligungsgesellschaften;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-643;Treuhand- u.sonst. Fonds u.ä. Finanzinstitutionen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-649;Sonstige Finanzierungsinstitutionen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-651;Versicherungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-652;Rückversicherungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-653;Pensionskassen und Pensionsfonds;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-681;Kauf u.Verk. v.eig.Grundst.,Gebäuden und Wohnungen;7295;24352;11641;2554;4836;4120;716;608;109;-;8913;7022;3224;-;1;15363;12051
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-682;Verm.u.Verp. v.eig.Grundst.,Gebäuden und Wohnungen;93065;269277;79621;32687;44661;37649;7012;5694;1317;-;66670;33432;13514;-;49;158302;130131
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-683;Vermittl.u.Verw. v.Grundst., Gebäuden u. Wohnungen;57233;206737;29989;7426;16454;10458;5996;5049;947;-;25842;13468;4665;-;100;141505;115510
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-691;Rechtsberatung;58183;256384;28747;330;21147;13376;7771;6537;1234;-;27552;7363;1262;-;28;183234;145716
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-692;Wirtschaftsprüfung und Steuerberatung, Buchführung;55548;410071;37125;621;25830;8254;17576;14993;2583;-;33918;10970;3167;-;128;343381;279025
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-701;Verwaltung u.Führung v.Unternehmen u.Betrieben;21218;289030;56563;3336;16438;-1255;17693;14626;3067;-;46024;40861;11828;-;220;266509;232869
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-702;Public-Relations- und Unternehmensberatung;78739;247872;34147;479;20576;7764;12812;11137;1675;-;27818;13159;6389;-;35;166924;146619
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-711;Architektur- und Ingenieurbüros;111705;601478;79084;2333;44663;18662;26001;21644;4356;-;65294;34493;14827;-;228;475889;418689
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-712;Technische,physikalische u. chemische Untersuchung;6395;118422;13916;532;8369;1788;6581;5404;1177;-;11793;5446;2091;-;62;112089;100376
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-721;Forschg.u.Entwicklg. in Natur-u.ä. Wissenschaften;6335;180804;16715;2627;12121;1406;10714;8820;1894;-;14928;9554;2399;-;85;174815;148233
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-722;Forschg.u.Entwicklg. in Geisteswissenschaften;891;12733;630;15;632;129;502;416;86;-;622;231;30;-;1;11917;9039
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-731;Werbung;26925;174432;24595;583;9508;3705;5803;4881;922;-;15542;15044;9152;-;12;145068;110979
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-732;Markt- und Meinungsforschung;1172;19719;2585;42;1088;118;970;816;154;-;1808;1479;779;-;2;18478;14561
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-741;Ateliers für Textil-,Schmuck-,Grafik- u.ä. Design;24644;47057;3964;67;2126;1342;784;643;142;-;3041;1849;936;-;7;20613;17731
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-742;Fotografie und Fotolabors;10883;24367;1815;94;988;591;396;330;66;-;1665;839;168;-;2;13238;11345
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-743;Übersetzen und Dolmetschen;7065;12219;949;14;568;383;184;153;31;-;745;383;206;-;0;5034;4239
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-749;Sonstige freiberufl.,wiss.u.techn.Tätigk. a.n.g.;30983;88509;15721;308;6303;2605;3698;3059;639;-;8471;9646;7537;-;16;57085;48413
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-750;Veterinärwesen;10652;55349;4663;188;2790;1546;1244;1003;241;-;3819;1904;853;-;1;43645;34539
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-771;Vermietung von Kraftwagen;4228;34895;34047;21231;22022;20429;1592;1307;286;-;25353;18691;15390;-;45;30207;24773
48112;Bereichsübergreifende Unternehmensstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08F3;WZ2008 (3-Steller): Unternehmensstatistik;WZ08-772;Vermietung von Gebrauchsgütern;3914;37273;4753;1089;2597;1434;1163;955;209;-;4163;2163;608;-;33;32874;27756
