statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;03;Niedersachsen;7952;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;485;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;457;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;504;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;28;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;10;Saarland;989;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;816;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;738;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;778;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;78;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;1594;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;931;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;847;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;831;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;83;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2007;DLAND;Bundesländer;02;Hamburg;1762;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;8736;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;8093;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;9235;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;644;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;05;Nordrhein-Westfalen;17971;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;1123;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;1056;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;1033;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;67;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;16;Thüringen;2156;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;04;Bremen;329;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;04;Bremen;307;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;04;Bremen;330;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;04;Bremen;22;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;04;Bremen;659;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;01;Schleswig-Holstein;1419;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;01;Schleswig-Holstein;1355;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;01;Schleswig-Holstein;1400;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;01;Schleswig-Holstein;65;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;01;Schleswig-Holstein;2819;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;08;Baden-Württemberg;5610;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;08;Baden-Württemberg;5373;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;08;Baden-Württemberg;5142;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;08;Baden-Württemberg;237;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;08;Baden-Württemberg;10751;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;09;Bayern;7069;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;09;Bayern;6889;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;09;Bayern;5823;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;09;Bayern;180;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;09;Bayern;12892;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;07;Rheinland-Pfalz;2065;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;07;Rheinland-Pfalz;1986;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;07;Rheinland-Pfalz;1932;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;07;Rheinland-Pfalz;79;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2014;DLAND;Bundesländer;07;Rheinland-Pfalz;3996;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;15;Sachsen-Anhalt;1296;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;15;Sachsen-Anhalt;1066;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;15;Sachsen-Anhalt;1160;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;15;Sachsen-Anhalt;230;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;15;Sachsen-Anhalt;2456;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;14;Sachsen;2227;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;14;Sachsen;1937;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;14;Sachsen;1979;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;14;Sachsen;289;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2008;DLAND;Bundesländer;14;Sachsen;4205;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;12;Brandenburg;1404;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;12;Brandenburg;1171;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;12;Brandenburg;1150;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;12;Brandenburg;232;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2006;DLAND;Bundesländer;12;Brandenburg;2553;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;06;Hessen;3248;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;06;Hessen;3121;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;06;Hessen;2954;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;06;Hessen;127;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2016;DLAND;Bundesländer;06;Hessen;6202;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;02;Hamburg;905;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;02;Hamburg;856;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;02;Hamburg;806;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;02;Hamburg;48;1000;ERW003;Erwerbslose;e
12211;Mikrozensus;JAHR;Jahr;2011;DLAND;Bundesländer;02;Hamburg;1711;1000;BEV020;Bevölkerung;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;11;Berlin;1972;1000;ERW001;Erwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;11;Berlin;1868;1000;ERW002;Erwerbstätige;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;11;Berlin;1632;1000;ERW004;Nichterwerbspersonen;e
12211;Mikrozensus;JAHR;Jahr;2019;DLAND;Bundesländer;11;Berlin;104;1000;ERW003;Erwerbslose;e
